180 8055 
1 13 1
1 112 1
1 91 1
1 26 1
1 160 1
1 69 1
1 124 1
1 77 1
1 140 1
1 123 1
1 19 1
1 147 1
1 83 1
1 151 1
1 98 1
1 99 1
1 30 1
1 173 1
1 70 1
1 87 1
1 117 1
1 84 1
1 179 1
1 15 1
1 4 1
1 135 1
1 37 1
1 82 1
1 21 1
1 58 1
1 164 1
1 126 1
1 43 1
1 157 1
1 178 1
1 154 1
1 94 1
1 81 1
1 68 1
1 103 1
1 119 1
1 149 1
1 158 1
1 59 1
1 169 1
1 141 1
1 138 1
1 34 1
1 22 1
1 153 1
1 116 1
1 139 1
1 57 1
1 74 1
1 104 1
1 29 1
1 73 1
1 171 1
1 47 1
1 45 1
1 175 1
1 102 1
1 85 1
1 144 1
1 131 1
1 152 1
1 110 1
1 97 1
1 122 1
1 36 1
1 60 1
1 40 1
1 14 1
1 17 1
1 46 1
1 108 1
1 174 1
1 44 1
1 162 1
1 132 1
1 56 1
1 92 1
1 159 1
1 16 1
1 2 1
1 127 1
1 170 1
1 8 1
1 5 1
1 72 1
1 155 1
1 136 1
1 18 1
2 66 1
2 30 1
2 136 1
2 130 1
2 34 1
2 73 1
2 177 1
2 124 1
2 160 1
2 155 1
2 126 1
2 14 1
2 142 1
2 51 1
2 43 1
2 174 1
2 67 1
2 117 1
2 31 1
2 68 1
2 16 1
2 9 1
2 115 1
2 11 1
2 109 1
2 10 1
2 139 1
2 18 1
2 101 1
2 60 1
2 164 1
2 20 1
2 140 1
2 42 1
2 71 1
2 82 1
2 19 1
2 131 1
2 13 1
2 55 1
2 118 1
2 23 1
2 84 1
2 146 1
2 65 1
2 138 1
2 49 1
2 110 1
2 147 1
2 98 1
2 69 1
2 5 1
2 99 1
2 44 1
2 165 1
2 45 1
2 76 1
2 94 1
2 175 1
2 180 1
2 128 1
2 59 1
2 166 1
2 29 1
2 162 1
2 33 1
2 119 1
2 145 1
2 38 1
2 120 1
2 152 1
2 176 1
2 24 1
2 111 1
2 168 1
2 12 1
2 149 1
2 122 1
2 86 1
2 90 1
2 179 1
2 21 1
2 80 1
2 161 1
2 46 1
2 63 1
2 172 1
2 141 1
2 89 1
2 77 1
2 167 1
2 143 1
3 118 1
3 129 1
3 31 1
3 61 1
3 121 1
3 152 1
3 166 1
3 135 1
3 60 1
3 120 1
3 67 1
3 117 1
3 40 1
3 65 1
3 178 1
3 51 1
3 94 1
3 50 1
3 98 1
3 43 1
3 66 1
3 112 1
3 147 1
3 170 1
3 140 1
3 5 1
3 150 1
3 48 1
3 74 1
3 33 1
3 177 1
3 85 1
3 24 1
3 139 1
3 18 1
3 104 1
3 159 1
3 97 1
3 69 1
3 179 1
3 130 1
3 55 1
3 162 1
3 141 1
3 39 1
3 35 1
3 19 1
3 115 1
3 16 1
3 29 1
3 73 1
3 95 1
3 174 1
3 93 1
3 63 1
3 45 1
3 75 1
