180 1611 
1 127 -1
1 157 -1
1 35 1
1 73 1
1 43 1
1 176 1
1 56 -1
1 114 -1
1 142 -1
1 53 -1
1 14 -1
1 18 1
1 62 1
1 124 -1
1 87 -1
1 39 -1
1 91 -1
1 146 1
1 119 1
1 61 -1
1 113 1
1 13 -1
1 138 -1
1 2 -1
1 64 -1
2 154 1
2 152 1
2 119 1
2 137 1
2 156 1
2 58 -1
2 173 1
2 116 1
2 64 -1
2 31 -1
2 59 1
2 107 -1
2 33 1
2 10 1
2 103 -1
3 57 1
3 98 1
3 85 -1
3 104 -1
3 19 1
3 52 -1
3 16 -1
3 26 1
3 92 1
3 145 1
3 63 1
3 148 -1
3 132 1
3 4 -1
3 136 1
3 8 -1
3 21 1
3 127 1
3 43 1
3 23 1
3 17 -1
3 34 -1
3 73 1
4 15 1
4 6 1
4 31 1
4 140 1
4 72 -1
4 142 1
4 133 1
4 87 -1
4 42 1
4 9 -1
4 33 -1
4 164 1
5 156 -1
5 166 -1
5 80 -1
5 50 1
5 43 -1
5 128 1
5 115 -1
5 147 -1
5 110 -1
5 49 1
5 51 -1
5 62 1
5 91 1
5 175 1
5 42 1
5 31 -1
5 160 1
5 69 1
5 161 1
6 45 -1
6 77 1
6 21 1
6 44 1
6 70 1
6 96 1
6 139 -1
6 15 -1
6 160 1
6 7 -1
6 33 -1
6 82 1
6 46 1
6 31 1
6 144 -1
6 34 -1
6 153 -1
6 41 -1
6 152 1
6 174 -1
6 8 -1
6 12 1
6 88 1
6 73 -1
6 159 1
7 66 1
7 65 1
7 81 -1
7 22 1
7 56 -1
7 155 1
7 141 1
7 43 1
7 88 -1
7 62 -1
7 102 -1
7 93 -1
7 176 1
7 51 -1
7 20 1
7 126 -1
8 10 1
8 136 -1
8 117 1
8 118 1
8 58 1
8 83 1
8 70 1
8 154 -1
8 114 -1
8 157 -1
8 57 1
8 66 1
8 59 1
8 121 -1
9 134 1
9 83 -1
9 179 -1
9 117 -1
9 77 1
9 162 -1
9 146 1
9 15 -1
9 43 -1
9 74 -1
9 37 -1
9 31 -1
9 167 1
9 109 1
9 137 -1
9 90 -1
9 20 -1
9 180 1
9 108 1
9 78 -1
10 149 1
10 151 -1
10 154 -1
10 13 1
10 78 1
10 143 -1
10 172 1
10 48 1
10 176 1
10 124 -1
10 177 1
10 42 1
10 93 -1
10 64 1
10 76 -1
10 105 -1
11 109 -1
11 77 1
11 160 1
11 44 -1
11 21 -1
11 96 1
11 17 -1
11 110 -1
11 59 1
11 25 1
11 148 1
11 97 1
11 67 -1
11 70 1
11 162 -1
11 80 1
11 68 -1
11 90 -1
11 79 -1
11 14 -1
11 158 1
12 91 1
12 155 -1
12 177 -1
12 160 -1
12 169 -1
12 127 1
12 172 1
12 108 -1
12 133 -1
12 85 -1
12 68 1
12 25 -1
12 20 -1
12 15 1
12 64 1
12 87 -1
12 96 1
12 54 1
13 115 1
13 77 -1
13 53 1
13 149 -1
13 82 -1
13 153 -1
13 28 1
13 126 1
13 92 1
13 123 -1
13 117 -1
13 73 -1
13 94 1
13 90 1
14 37 1
14 92 1
14 69 -1
14 85 -1
14 141 1
14 91 1
14 170 1
14 154 1
14 129 -1
14 150 1
14 118 -1
14 64 -1
14 111 1
14 44 1
14 156 1
15 102 -1
15 71 -1
15 117 -1
15 41 -1
15 112 -1
15 100 1
15 124 1
15 163 1
15 94 -1
15 63 1
15 138 1
15 99 -1
15 17 1
15 77 -1
15 114 1
16 113 1
16 167 -1
16 129 -1
16 172 1
16 163 1
16 104 1
16 140 -1
16 69 -1
16 28 -1
16 125 -1
16 147 1
16 71 -1
16 21 -1
17 126 1
17 166 -1
17 171 1
17 18 1
17 34 -1
17 167 -1
17 82 1
17 52 1
17 132 1
17 56 1
17 172 -1
17 158 -1
17 31 1
17 120 1
17 75 -1
17 55 1
17 85 1
17 95 1
17 66 1
18 119 -1
18 118 1
18 102 -1
18 161 1
18 64 -1
18 146 -1
18 131 -1
18 36 1
18 166 1
18 176 1
19 97 1
19 86 -1
19 167 1
19 137 1
19 119 1
19 106 1
19 93 1
19 81 -1
19 52 -1
19 84 -1
19 122 1
19 50 -1
19 147 -1
19 57 -1
19 108 1
19 24 1
20 159 1
20 138 1
20 141 -1
20 160 1
20 100 1
