180 1611 
1 160 7
1 154 3
1 8 9
1 48 10
1 62 5
1 121 9
1 97 3
1 173 10
1 38 7
1 81 3
1 101 2
1 79 6
1 98 1
2 144 1
2 145 7
2 18 6
2 101 1
2 58 6
2 43 8
2 11 8
2 23 9
2 108 1
2 29 3
2 167 2
2 35 9
2 42 4
2 98 5
2 83 4
2 82 4
3 143 4
3 56 8
3 159 4
3 156 3
3 4 9
3 70 2
3 176 5
3 50 4
3 146 2
3 119 7
3 138 3
3 141 1
3 17 5
3 82 2
3 163 4
4 36 10
4 76 7
4 130 2
4 11 6
4 126 6
4 69 10
4 78 6
4 115 2
4 152 5
4 62 8
4 50 2
4 114 9
4 139 10
4 131 1
4 64 8
4 176 4
4 159 9
4 47 5
4 120 3
4 18 7
5 138 3
5 151 10
5 73 6
5 144 8
5 172 2
5 99 2
5 177 10
5 35 5
5 147 5
5 154 2
5 127 5
5 83 2
5 134 1
5 77 9
5 175 9
5 111 9
5 26 2
5 148 7
5 112 1
6 137 10
6 34 9
6 102 7
6 71 6
6 12 9
6 131 1
6 177 3
6 81 9
6 38 4
6 109 10
6 149 6
6 106 7
7 140 7
7 81 2
7 30 5
7 83 2
7 22 8
7 113 9
7 156 5
7 119 4
7 177 9
7 23 3
7 160 9
7 165 4
7 31 5
7 71 4
7 27 5
8 94 3
8 16 8
8 74 7
8 156 8
8 85 9
8 124 6
8 139 8
8 175 4
8 133 8
8 146 5
8 75 5
8 70 1
8 122 3
8 95 7
8 97 9
9 31 10
9 139 1
9 163 1
9 121 3
9 132 1
9 125 6
9 167 4
9 95 2
9 29 8
9 47 5
9 93 3
9 148 5
9 147 1
9 58 6
9 106 4
9 86 6
9 109 8
9 176 10
9 23 9
10 136 4
10 100 4
10 57 4
10 162 4
10 31 2
10 96 9
10 169 3
10 178 3
10 49 8
10 15 5
10 117 5
10 65 8
10 126 6
10 70 10
10 122 5
10 36 10
10 42 3
10 177 1
11 121 3
11 128 6
11 147 7
11 151 3
11 45 1
11 150 5
11 13 3
11 18 3
11 143 7
11 178 7
11 117 9
11 48 8
11 148 3
11 33 7
11 40 6
11 51 5
11 155 1
11 96 1
12 143 9
12 107 1
12 26 5
12 112 6
12 97 9
12 167 6
12 73 3
12 29 8
12 46 7
12 30 1
12 64 6
12 83 3
12 52 4
12 81 7
12 44 10
12 134 10
13 101 6
13 46 1
13 44 1
13 125 7
13 62 6
13 177 7
13 52 5
13 151 7
13 105 2
13 129 9
13 98 7
13 21 8
13 28 1
13 23 9
13 179 10
13 17 5
13 77 10
14 84 3
14 132 6
14 88 1
14 144 6
14 173 10
14 77 3
14 145 10
14 152 1
14 126 4
14 45 3
14 146 8
14 96 2
14 44 3
15 116 4
15 34 8
15 137 8
15 72 7
15 38 3
15 141 1
15 109 5
15 53 3
15 63 3
15 80 5
15 101 5
15 110 5
15 92 6
15 166 5
15 81 10
15 150 6
15 49 2
16 44 8
16 166 1
16 108 8
16 127 1
16 138 6
16 135 10
16 155 3
16 67 4
16 86 2
16 112 9
16 31 7
16 52 5
16 48 4
16 56 1
16 41 7
17 41 7
17 46 3
17 95 5
17 61 9
17 69 1
17 147 5
17 25 7
17 160 8
17 92 5
17 126 10
17 107 9
17 39 9
17 170 3
17 38 9
17 175 6
17 90 6
17 48 6
18 33 3
18 35 10
18 166 1
18 124 2
18 42 3
18 60 3
18 133 2
18 89 7
18 177 5
18 30 3
18 77 6
18 96 9
18 21 5
18 153 10
18 68 4
18 76 10
18 26 7
18 126 9
18 167 4
19 134 3
19 27 4
19 138 1
19 139 10
19 70 3
19 172 9
19 30 5
19 149 3
19 72 5
19 178 8
19 146 9
19 170 3
19 89 10
19 82 4
19 113 3
19 79 8
19 35 1
20 152 9
20 159 4
20 140 10
20 106 6
20 74 9
20 81 7
20 166 1
20 139 1
20 21 5
20 59 4
20 30 1
20 155 4
21 121 3
21 133 4
21 102 9
21 153 10
21 96 1
21 107 5
21 38 1
21 60 9
21 143 4
21 125 5
21 85 10
21 31 4
21 59 8
21 51 5
21 65 10
21 34 9
21 42 1
21 124 8
21 48 1
21 80 9
22 88 8
22 142 9
22 140 9
22 118 1
22 158 8
22 136 4
22 25 7
22 113 1
22 89 9
22 61 1
22 175 6
22 27 3
22 103 5
23 161 7
23 82 1
23 62 10
23 117 4
23 36 6
23 67 8
23 178 5
23 177 1
23 58 7
23 142 7
23 30 5
23 77 1
23 136 4
23 83 2
23 51 7
23 27 2
23 157 1
23 119 7
24 112 4
24 164 1
24 97 10
24 30 8
24 39 5
24 26 9
24 106 5
24 41 5
24 55 9
24 178 4
24 173 3
24 67 2
24 113 3
24 165 7
24 95 4
24 49 7
25 105 8
25 111 10
25 30 3
25 71 6
25 65 5
25 27 1
25 141 8
25 149 2
25 168 2
25 98 7
25 140 6
25 128 5
25 69 6
25 96 4
26 135 9
26 127 5
26 114 7
26 134 10
26 130 9
26 111 8
26 74 10
26 94 9
26 107 7
26 132 8
26 41 1
26 54 6
26 147 8
26 36 2
26 167 7
26 87 6
26 63 2
27 31 8
27 84 7
27 44 3
27 50 2
27 109 5
27 119 3
27 56 9
27 146 7
27 65 5
27 151 1
27 107 2
27 47 8
28 65 6
28 174 6
28 167 9
28 83 5
28 79 1
28 180 4
28 160 6
28 168 5
28 176 6
28 101 7
28 46 6
29 173 2
29 60 2
29 50 7
29 37 7
29 180 7
29 54 5
29 143 9
29 125 3
29 160 2
29 149 5
29 136 5
29 164 10
29 151 5
29 170 4
29 172 3
29 141 4
29 115 2
29 140 1
29 48 4
29 42 6
30 140 8
30 135 8
30 53 1
30 106 7
30 111 6
30 60 7
30 174 4
30 127 5
30 170 8
30 39 1
30 100 3
30 123 6
30 102 9
30 103 6
30 179 1
30 153 5
30 67 1
30 113 1
31 168 2
31 32 6
31 56 4
31 109 5
31 73 5
31 39 2
31 85 1
31 136 3
31 173 9
31 130 9
31 71 3
31 104 5
31 86 8
31 57 5
31 117 7
31 149 10
31 135 5
31 89 7
32 178 5
32 154 9
32 136 5
32 74 5
32 36 1
32 61 10
32 135 7
32 169 5
32 167 6
32 43 3
32 117 2
32 176 9
32 98 10
32 139 4
33 125 2
33 56 5
33 101 3
33 123 1
33 76 9
33 126 1
33 157 8
33 176 6
33 77 10
34 154 4
34 72 6
34 106 7
34 117 1
34 42 3
34 136 5
34 73 8
34 75 5
34 164 8
34 67 10
34 45 3
34 65 9
34 172 5
34 83 3
34 43 8
34 88 3
34 134 8
35 72 9
35 45 4
35 43 8
35 114 6
35 115 1
35 60 4
35 36 8
35 73 1
35 75 10
35 131 7
35 175 1
36 174 7
36 150 5
36 41 9
36 111 2
36 178 7
36 127 10
36 140 9
36 129 9
36 162 6
36 102 9
36 44 9
36 125 2
36 160 5
37 47 3
37 39 8
37 80 3
37 136 7
37 69 1
37 71 6
37 55 1
37 70 5
37 132 9
37 159 10
37 146 3
37 120 1
37 147 4
37 105 7
38 167 6
38 44 7
38 87 10
38 106 7
38 162 5
38 108 4
38 169 2
38 178 9
38 166 2
38 76 10
38 60 9
38 42 3
38 124 5
39 105 2
