180 1611 
1 123 -8
1 13 5
1 89 9
1 129 -3
1 67 10
1 72 10
1 8 9
1 92 10
1 166 7
1 124 -1
1 102 7
1 93 -4
1 52 3
1 59 -10
1 68 9
1 174 3
1 53 -7
1 42 -5
1 156 4
1 164 -5
1 66 4
1 115 -5
1 119 8
1 71 -1
1 165 -6
1 177 3
2 117 7
2 76 -3
2 178 6
2 174 -7
2 61 -4
2 120 -2
2 112 5
2 73 6
2 62 -10
2 102 4
2 52 9
2 20 -5
2 24 1
2 21 -5
2 180 3
2 27 -2
2 160 -6
2 173 -5
2 134 6
2 119 -9
2 103 1
2 86 -8
3 117 7
3 145 -7
3 48 -5
3 171 -7
3 77 -2
3 47 7
3 38 -3
3 37 2
3 105 2
3 85 -8
3 79 0
3 51 -1
3 21 8
3 175 -3
3 168 2
3 134 7
3 93 0
3 115 -7
3 89 2
3 123 6
3 141 4
3 28 -5
3 104 -4
3 7 10
3 59 4
3 72 6
3 102 3
3 135 -10
4 70 -10
4 77 10
4 133 -2
4 116 3
4 138 -7
4 80 7
4 29 8
4 26 3
4 110 -8
4 91 4
4 137 -2
4 145 -8
4 121 10
4 152 6
4 53 7
4 43 10
4 71 -1
4 130 4
4 132 -1
4 35 -6
4 171 2
5 75 9
5 41 5
5 180 6
5 76 -5
5 94 9
5 115 -9
5 12 2
5 80 2
5 7 -10
5 50 2
5 38 -5
5 133 -9
5 92 -7
5 16 8
5 36 -7
5 68 6
5 11 -6
5 130 -9
6 37 8
6 158 9
6 126 6
6 74 -2
6 77 5
6 16 8
6 9 -6
6 31 2
6 35 2
6 151 -7
6 160 4
6 128 -5
6 40 -5
6 91 -1
6 87 4
6 29 7
7 95 9
7 43 -3
7 18 -6
7 105 5
7 33 -1
7 156 -1
7 60 -4
7 141 -2
7 100 -8
7 150 -1
7 127 7
7 58 1
7 125 8
7 158 -4
8 35 -2
8 103 -6
8 92 -8
8 126 -6
8 10 3
8 146 7
8 76 -1
8 81 -1
8 89 10
8 168 -6
8 133 -8
8 160 5
8 83 -6
8 145 -10
9 160 7
9 43 0
9 74 4
9 76 -5
9 24 -8
9 143 9
9 155 9
9 46 -8
9 92 -7
9 167 4
9 173 -10
9 129 1
9 156 3
9 148 7
9 37 -10
9 171 1
9 111 4
9 45 8
9 112 -3
9 162 -2
9 168 7
10 140 -3
10 86 -9
10 22 4
10 17 -4
10 15 -4
10 32 -4
10 87 10
10 125 -2
10 169 -5
10 105 -9
10 74 -7
10 77 3
10 64 1
10 126 -9
10 111 -1
10 66 -2
11 131 10
11 82 -2
11 30 -6
11 133 -6
11 93 -1
11 80 -3
11 137 -4
11 94 -1
11 31 -3
11 125 -6
11 96 4
11 60 -5
11 61 0
11 157 3
11 165 -9
11 85 -9
11 19 -9
11 122 6
12 177 -2
12 50 7
12 55 8
12 130 -3
12 157 6
12 111 6
12 61 10
12 85 -9
12 154 -9
12 20 5
12 178 -1
12 146 2
12 119 -7
12 71 6
12 89 3
12 78 -2
12 28 -7
12 96 1
12 29 -1
12 84 3
13 170 -6
13 51 9
13 126 0
13 27 6
13 82 9
13 122 -7
13 56 10
13 54 5
13 14 2
13 102 -5
13 17 10
13 47 -9
13 175 -8
13 81 10
13 131 4
13 16 10
13 45 0
13 31 -7
13 155 -2
13 174 -7
14 69 3
14 165 -1
14 27 9
14 144 6
14 123 3
14 160 -1
14 152 4
14 147 -10
14 93 -2
14 139 -7
14 48 -3
14 52 -3
14 164 7
14 104 -10
14 167 -8
14 170 -8
14 153 3
14 100 2
14 155 0
14 134 0
15 175 -9
15 18 -1
15 139 -6
15 33 -1
15 57 0
15 153 1
15 99 3
15 71 -1
15 40 4
15 112 -4
16 55 -2
16 130 -5
16 56 1
16 27 -6
16 166 -8
16 58 -1
16 126 -8
16 139 -6
16 102 9
16 21 -9
16 73 1
16 91 -3
16 50 4
16 173 6
17 85 5
17 68 3
17 127 8
17 145 5
17 155 -3
17 75 9
17 161 -9
17 31 7
17 126 -6
17 55 -1
17 106 -8
17 107 9
17 157 -10
17 65 -3
17 171 3
17 26 8
17 37 9
17 158 -4
17 38 10
17 102 10
17 132 5
18 150 5
18 66 -7
18 67 9
18 167 3
18 119 -1
18 165 -4
18 136 0
18 20 5
18 111 6
18 65 9
18 130 10
18 25 -3
18 79 2
18 56 6
18 46 1
18 75 7
18 160 5
19 46 6
19 77 7
19 47 -9
19 49 5
19 172 5
19 23 -9
19 168 -2
19 145 9
19 56 -5
19 144 0
19 81 -6
19 85 -6
19 115 1
19 48 9
19 55 5
19 119 10
19 128 10
19 164 -6
19 163 -8
20 51 3
20 158 4
20 128 10
20 27 7
20 92 9
20 96 6
20 163 8
20 54 -5
20 28 4
20 134 1
20 154 2
20 37 7
20 146 -6
21 63 -4
21 90 5
21 180 -10
21 137 5
21 52 1
21 91 3
21 85 3
21 87 5
21 173 7
21 79 1
21 82 1
21 144 -5
