180 8055 
1 40 1
1 52 1
1 146 1
1 69 1
1 61 1
1 21 1
1 63 1
1 131 1
1 156 1
1 123 1
1 58 1
1 136 1
1 32 1
1 62 1
1 92 1
1 10 1
1 70 1
1 4 1
1 14 1
1 11 1
1 90 1
1 47 1
1 125 1
1 12 1
1 44 1
1 77 1
1 59 1
1 86 1
1 132 1
1 175 1
1 88 1
1 37 1
1 160 1
1 82 1
1 76 1
1 108 1
1 176 1
1 165 1
1 2 1
1 149 1
1 5 1
1 163 1
1 134 1
1 67 1
1 100 1
1 49 1
1 30 1
1 117 1
1 161 1
1 148 1
1 174 1
1 145 1
1 27 1
1 39 1
1 64 1
1 19 1
1 140 1
1 104 1
1 178 1
1 80 1
1 152 1
1 159 1
1 26 1
1 74 1
1 162 1
1 8 1
1 22 1
1 93 1
1 105 1
1 20 1
1 43 1
1 158 1
1 3 1
1 179 1
1 94 1
1 112 1
1 107 1
1 33 1
1 172 1
1 144 1
1 57 1
1 29 1
1 75 1
1 122 1
1 48 1
1 128 1
1 114 1
1 124 1
1 111 1
1 6 1
1 118 1
1 56 1
1 137 1
1 79 1
1 41 1
1 120 1
1 115 1
1 51 1
1 106 1
1 38 1
1 36 1
1 78 1
2 38 1
2 156 1
2 161 1
2 61 1
2 43 1
2 132 1
2 44 1
2 104 1
2 108 1
2 23 1
2 69 1
2 89 1
2 12 1
2 67 1
2 41 1
2 177 1
2 178 1
2 170 1
2 59 1
2 102 1
2 81 1
2 119 1
2 77 1
2 14 1
2 103 1
2 97 1
2 131 1
2 93 1
2 75 1
2 101 1
2 76 1
2 25 1
2 168 1
2 167 1
2 78 1
2 150 1
2 24 1
2 33 1
2 180 1
2 48 1
2 72 1
2 3 1
2 40 1
2 107 1
2 176 1
2 90 1
2 8 1
2 88 1
2 165 1
2 26 1
2 111 1
2 28 1
2 172 1
2 18 1
2 10 1
2 19 1
2 112 1
2 20 1
2 100 1
2 158 1
2 133 1
2 155 1
2 87 1
2 160 1
2 83 1
2 55 1
2 157 1
2 22 1
2 145 1
2 137 1
2 138 1
2 144 1
2 127 1
2 142 1
2 62 1
2 126 1
2 11 1
2 63 1
2 99 1
2 4 1
2 174 1
2 141 1
2 148 1
2 130 1
3 34 1
3 158 1
3 128 1
3 29 1
3 160 1
3 45 1
3 86 1
3 177 1
3 142 1
3 108 1
3 138 1
3 35 1
3 143 1
3 136 1
3 23 1
3 112 1
3 144 1
3 68 1
3 156 1
3 155 1
3 6 1
3 130 1
3 141 1
3 65 1
3 137 1
3 101 1
3 173 1
3 48 1
3 72 1
3 159 1
3 14 1
3 140 1
3 32 1
3 97 1
3 121 1
3 127 1
3 93 1
3 116 1
3 125 1
3 74 1
3 58 1
3 77 1
3 36 1
3 165 1
3 139 1
3 28 1
3 19 1
3 67 1
3 84 1
3 38 1
3 124 1
3 102 1
3 66 1
3 176 1
3 96 1
3 107 1
3 39 1
3 61 1
3 9 1
3 5 1
3 134 1
3 70 1
3 164 1
3 63 1
3 16 1
3 8 1
3 15 1
3 103 1
3 47 1
3 94 1
3 98 1
3 133 1
3 71 1
3 50 1
3 64 1
3 10 1
3 166 1
3 51 1
3 175 1
3 88 1
3 174 1
3 7 1
3 24 1
3 89 1
3 42 1
3 161 1
3 41 1
3 80 1
4 141 1
4 47 1
4 108 1
4 132 1
4 52 1
4 170 1
4 30 1
4 98 1
4 128 1
4 90 1
4 88 1
4 18 1
4 40 1
4 45 1
4 114 1
4 91 1
4 42 1
4 16 1
4 167 1
4 32 1
4 94 1
4 111 1
4 126 1
4 5 1
4 58 1
4 44 1
4 27 1
4 137 1
4 160 1
4 51 1
4 31 1
4 15 1
4 82 1
4 69 1
4 117 1
4 29 1
4 49 1
4 68 1
