180 1611 
1 47 1
1 83 1
1 78 -1
1 146 1
1 112 -1
1 91 1
1 72 -1
1 31 -1
1 97 -1
1 178 1
1 109 -1
1 74 1
1 25 -1
1 105 -1
1 147 1
1 124 1
2 78 1
2 95 1
2 124 -1
2 30 -1
2 48 -1
2 10 -1
2 94 -1
2 171 1
2 61 1
2 63 1
2 108 -1
2 139 -1
2 144 -1
2 85 -1
2 18 1
2 35 1
2 40 -1
3 143 -1
3 147 -1
3 44 1
3 127 -1
3 78 -1
3 84 -1
3 28 1
3 172 -1
3 117 1
3 141 1
3 115 -1
3 132 1
3 119 -1
3 80 1
3 95 1
3 69 -1
3 82 1
3 118 1
3 149 -1
3 142 -1
4 65 1
4 71 1
4 44 1
4 104 1
4 31 1
4 22 1
4 83 -1
4 132 -1
4 16 1
4 141 -1
4 49 1
4 12 1
4 81 1
4 169 -1
4 75 1
4 124 -1
4 90 1
4 63 -1
4 110 -1
5 87 -1
5 174 -1
5 82 -1
5 28 1
5 34 1
5 20 -1
5 90 1
5 110 -1
5 150 -1
5 166 1
5 93 -1
5 107 -1
5 164 1
5 24 1
5 180 -1
5 22 1
5 66 -1
6 85 1
6 36 1
6 128 1
6 152 -1
6 28 -1
6 118 1
6 95 1
6 138 1
6 145 -1
6 107 -1
6 180 1
6 50 1
6 141 -1
6 8 -1
6 105 1
6 17 1
6 22 1
6 42 -1
6 92 -1
6 94 1
6 27 -1
7 174 -1
7 77 -1
7 68 1
7 24 -1
7 163 1
7 84 -1
7 55 1
7 161 1
7 90 1
7 95 -1
7 147 1
7 45 1
7 91 -1
7 22 1
7 80 1
7 25 -1
8 96 -1
8 121 -1
8 79 -1
8 164 1
8 72 -1
8 41 1
8 175 -1
8 162 1
8 57 1
8 77 1
8 84 -1
8 14 1
8 151 1
8 98 -1
8 56 -1
8 43 1
8 111 -1
8 35 1
9 89 -1
9 172 1
9 108 1
9 180 1
9 45 -1
9 66 -1
9 91 -1
9 87 -1
9 178 -1
9 137 1
9 160 1
9 59 -1
9 85 -1
9 126 -1
9 129 1
10 43 1
10 39 1
10 111 1
10 85 1
10 104 1
10 74 1
10 78 -1
10 75 -1
10 67 1
10 171 -1
10 155 -1
10 149 1
10 108 1
10 130 -1
11 77 1
11 129 -1
11 44 1
11 45 1
11 66 1
11 103 1
11 110 -1
11 90 1
11 151 -1
11 87 1
11 125 1
11 180 -1
11 19 -1
11 71 -1
12 111 -1
12 160 1
12 29 -1
12 17 -1
12 180 -1
12 151 -1
12 144 1
12 168 1
12 103 -1
12 146 1
12 129 -1
12 164 -1
12 174 -1
12 45 -1
12 84 1
12 42 -1
12 116 1
12 173 1
12 26 -1
12 50 1
12 136 1
12 96 1
12 66 -1
13 46 1
13 125 -1
13 139 -1
13 73 1
13 95 1
13 18 -1
13 75 1
13 171 -1
13 176 1
13 142 -1
13 21 -1
13 165 -1
13 157 1
13 96 1
13 174 1
13 146 1
13 104 -1
13 84 1
13 85 1
13 100 1
13 48 1
13 37 1
14 153 1
14 94 -1
14 67 1
14 51 1
14 116 -1
14 79 1
14 128 1
14 43 -1
14 31 1
14 101 1
14 35 1
15 54 1
15 128 -1
15 50 -1
15 126 -1
15 134 1
15 177 1
15 52 -1
15 179 1
15 92 1
15 162 -1
15 17 1
15 146 -1
15 94 -1
15 165 -1
15 132 1
15 169 1
15 81 -1
16 96 -1
16 59 -1
16 177 -1
16 95 -1
16 94 1
16 65 1
16 45 1
16 113 -1
16 98 -1
16 149 -1
16 25 -1
16 104 1
16 38 -1
16 33 1
16 178 1
16 171 1
16 31 1
16 147 1
17 66 -1
17 146 1
17 165 1
17 27 1
17 62 -1
17 113 1
17 111 1
17 54 -1
17 20 -1
17 140 -1
17 163 1
17 172 1
17 159 -1
17 174 1
18 22 -1
18 114 -1
18 83 1
18 133 -1
18 152 1
18 38 1
18 34 1
18 105 1
18 155 1
18 157 -1
18 96 1
18 139 -1
18 130 -1
18 173 1
18 128 1
18 78 -1
18 140 -1
18 87 1
18 71 1
18 124 1
19 92 1
19 142 -1
19 176 1
19 115 1
19 37 1
19 69 1
19 159 1
19 93 1
19 89 -1
19 81 -1
19 105 -1
19 163 1
19 78 1
19 132 -1
19 121 -1
20 74 1
20 71 -1
20 38 1
20 169 1
20 75 1
20 124 -1
20 65 1
20 63 1
20 33 -1
20 108 1
20 155 -1
20 73 -1
20 132 -1
20 127 1
21 69 -1
21 143 -1
21 163 1
21 95 1
21 128 -1
21 96 1
21 122 1
21 33 1
21 87 -1
21 25 -1
21 88 -1
21 40 1
21 153 -1
21 117 -1
21 39 -1
21 23 1
21 73 1
21 142 -1
22 179 1
22 66 -1
22 32 -1
22 63 1
22 106 1
22 38 1
22 37 -1
22 116 -1
22 75 -1
22 86 -1
22 57 -1
22 156 -1
22 94 1
22 117 1
22 161 1
22 170 -1
22 23 1
22 60 -1
22 98 1
23 168 1
23 126 1
23 107 1
23 128 -1
23 147 -1
23 72 1
23 130 1
23 69 1
23 41 1
23 124 -1
23 96 -1
23 141 1
23 151 1
23 118 -1
23 25 1
23 131 -1
23 70 1
23 65 1
23 29 1
23 162 -1
23 145 -1
24 76 1
24 61 -1
24 173 1
24 172 1
24 137 -1
24 63 1
24 65 1
24 48 -1
24 164 1
24 75 -1
24 116 -1
24 71 -1
24 132 -1
25 144 1
25 128 -1
25 126 1
25 53 1
25 51 1
25 50 -1
25 119 1
25 109 -1
25 160 1
25 107 -1
25 26 1
25 104 -1
25 165 -1
25 47 -1
25 30 -1
25 108 1
25 38 1
25 159 1
26 168 -1
26 89 -1
26 77 -1
26 129 -1
26 149 -1
26 94 1
26 178 -1
26 75 -1
26 140 -1
26 31 -1
26 73 -1
26 30 1
26 57 -1
26 91 -1
27 78 1
27 169 1
27 142 -1
27 72 1
27 69 1
27 127 -1
27 51 1
27 134 1
27 135 1
27 108 1
27 90 -1
27 167 -1
27 104 -1
27 159 -1
27 70 -1
27 175 -1
27 47 -1
27 57 1
28 154 1
28 89 1
28 45 1
28 93 -1
28 54 -1
28 137 -1
28 56 -1
28 123 -1
28 98 -1
28 78 -1
28 48 1
28 84 1
28 116 -1
28 81 -1
28 117 1
28 147 1
28 105 1
29 80 -1
29 94 1
29 59 1
29 114 -1
29 143 1
29 152 1
29 124 1
29 129 -1
29 32 1
29 90 1
