180 1611 
1 108 10
1 179 7
1 113 5
1 129 6
1 75 1
1 92 9
1 96 8
1 125 8
1 84 8
1 22 3
1 131 3
1 45 6
1 74 5
1 141 6
1 7 2
1 135 4
1 176 10
1 167 6
1 98 10
2 87 7
2 98 5
2 62 3
2 48 10
2 71 7
2 76 8
2 113 4
2 144 6
2 53 6
2 154 2
2 31 5
2 131 8
2 9 5
2 59 4
2 129 4
2 79 8
2 32 4
2 170 6
2 28 10
2 116 5
2 27 8
2 56 5
2 134 3
2 5 7
3 128 8
3 169 8
3 44 5
3 63 8
3 133 9
3 68 6
3 33 2
3 150 3
3 52 8
3 88 2
3 69 6
3 167 5
3 171 5
3 152 4
3 129 4
3 75 4
3 157 7
3 141 9
3 139 6
3 132 5
4 118 1
4 145 6
4 28 1
4 176 3
4 125 6
4 89 2
4 140 5
4 53 4
4 83 8
4 49 6
4 76 9
4 82 4
4 68 1
4 99 10
4 18 6
4 30 10
4 149 6
4 8 2
4 78 10
4 172 3
4 81 3
5 49 9
5 155 3
5 42 4
5 87 8
5 105 8
5 145 3
5 55 4
5 151 8
5 174 3
5 14 6
5 21 9
5 61 1
5 101 9
5 180 2
5 27 2
5 38 3
6 128 2
6 152 3
6 62 8
6 22 1
6 86 1
6 147 5
6 48 4
6 148 8
6 121 7
6 42 6
7 76 3
7 30 5
7 131 4
7 128 5
7 147 1
7 75 10
7 106 6
7 166 6
7 35 7
7 13 10
7 28 2
7 24 6
7 8 9
7 127 5
7 67 4
7 148 4
7 38 1
7 22 6
8 33 10
8 179 8
8 34 10
8 98 3
8 168 5
8 86 10
8 36 1
8 54 10
8 134 1
8 30 8
8 107 5
8 51 8
8 63 9
8 13 8
9 96 3
9 155 5
9 87 8
9 171 6
9 90 8
9 52 8
9 88 2
9 98 9
9 42 6
9 13 9
9 108 10
9 142 5
9 86 10
9 83 8
9 102 10
10 63 9
10 23 6
10 42 3
10 150 10
10 98 4
10 26 7
10 100 10
10 74 5
10 39 3
10 125 9
10 30 4
10 72 10
10 18 9
10 25 8
10 129 3
11 44 1
11 119 9
11 140 9
11 33 9
11 37 3
11 43 1
11 91 5
11 159 10
11 45 2
11 22 5
11 27 9
11 15 6
11 161 2
11 143 5
12 87 1
12 17 1
12 145 2
12 114 1
12 68 7
12 179 9
12 147 4
12 129 1
12 143 3
12 110 2
13 68 6
13 19 9
13 52 2
13 16 4
13 37 4
13 131 7
13 82 1
13 139 5
13 43 3
13 167 7
13 47 6
13 66 3
13 116 7
13 179 4
13 41 3
13 162 5
13 87 9
13 36 9
13 120 4
13 17 1
13 42 5
13 109 5
13 168 4
14 50 6
14 94 1
14 52 7
14 19 7
14 177 5
14 140 1
14 44 9
14 82 6
14 84 8
14 114 9
14 135 1
14 45 7
14 72 8
14 150 2
14 91 9
14 156 8
14 169 10
14 74 7
14 65 2
14 158 6
15 91 4
15 100 6
15 168 8
15 155 8
15 123 8
15 51 1
15 133 1
15 135 8
15 19 6
15 88 9
15 142 8
15 83 8
15 20 4
15 63 1
15 156 7
15 147 3
15 60 4
15 161 10
15 125 7
16 52 3
16 69 3
16 163 7
16 21 8
16 124 1
16 65 7
16 67 10
16 89 2
16 85 2
16 170 3
16 179 9
16 141 7
16 171 10
16 169 9
16 138 3
16 139 4
16 80 5
16 33 6
17 87 6
17 100 4
17 62 5
17 67 10
17 96 8
17 175 4
17 121 5
17 115 7
17 58 9
17 132 9
17 56 5
17 51 9
17 149 6
17 50 1
18 99 6
18 64 1
18 40 3
18 110 3
18 124 9
18 121 3
18 172 2
18 127 4
18 160 2
18 179 4
18 111 10
18 28 2
18 173 1
18 49 2
18 130 2
18 38 1
18 145 2
18 138 3
19 58 1
19 113 7
19 27 2
19 50 2
19 141 2
19 54 6
19 108 3
19 89 7
19 31 10
19 179 2
19 166 6
20 122 2
20 76 5
20 164 3
20 60 5
20 180 6
20 95 10
20 94 5
20 61 4
20 99 6
20 107 7
20 81 6
20 43 6
20 50 2
20 174 7
20 53 4
20 111 1
20 46 10
20 175 6
21 22 7
21 76 10
21 85 2
21 91 7
21 98 1
21 59 5
21 153 8
21 31 10
21 176 8
21 70 5
21 107 2
21 25 6
21 124 4
21 129 9
21 103 8
21 127 7
21 48 8
21 75 9
22 57 5
22 34 6
22 141 10
22 164 8
22 167 7
22 41 7
22 108 7
22 168 6
22 132 8
22 58 3
22 88 3
22 26 3
22 49 9
22 90 2
22 123 7
23 170 7
23 60 10
23 157 8
23 82 6
23 142 5
23 120 5
23 119 8
23 98 5
23 86 4
23 153 6
23 67 5
23 163 10
23 101 5
23 176 4
23 175 7
23 102 8
24 93 6
24 176 3
24 172 4
24 30 1
24 59 9
24 25 3
24 125 8
24 76 6
24 43 3
24 134 10
25 98 1
25 43 2
25 79 5
25 36 7
25 57 1
25 31 2
25 151 9
25 145 1
25 173 5
25 75 4
25 142 3
25 94 9
25 55 10
25 69 7
25 103 5
25 167 5
25 162 9
25 161 1
25 158 2
25 160 2
26 73 10
26 171 5
26 163 10
26 142 8
26 127 1
26 140 4
26 166 2
26 174 4
26 169 6
26 138 4
26 154 4
26 55 6
26 48 10
26 61 6
27 134 4
27 42 9
27 30 9
27 170 3
27 161 9
27 142 2
27 104 10
27 77 6
27 127 6
27 129 5
27 101 6
27 137 8
27 154 2
27 29 2
27 52 4
27 178 5
27 96 8
27 85 6
27 65 7
27 175 4
27 67 6
27 61 1
27 34 5
27 160 6
27 72 1
27 150 1
27 98 1
27 121 5
27 74 6
28 66 7
28 153 3
28 46 6
28 161 1
28 179 1
28 165 3
28 125 7
28 98 10
28 117 3
28 86 8
28 90 3
28 168 6
28 54 1
28 124 8
28 138 8
28 53 3
28 74 1
29 102 6
29 157 8
29 156 5
29 107 1
29 70 2
29 66 5
29 165 4
29 98 7
29 103 10
29 126 6
29 125 7
29 74 8
29 133 3
29 89 9
30 64 6
30 125 7
30 88 4
30 107 8
30 160 2
30 32 10
30 65 5
30 150 10
30 94 2
30 151 3
30 140 8
30 131 7
30 126 9
31 141 7
31 168 10
31 164 3
31 138 4
31 134 4
31 67 6
31 92 2
31 149 7
31 145 5
31 119 6
31 160 1
31 90 5
31 91 1
31 139 1
31 47 7
31 165 4
32 164 5
32 95 4
32 96 1
32 132 9
32 44 10
32 148 6
32 167 10
32 37 6
32 33 1
32 147 5
32 104 2
32 54 6
32 103 2
32 151 1
32 108 10
32 145 3
32 45 7
32 100 8
32 141 4
33 124 3
33 82 3
33 69 6
33 65 5
33 53 8
33 58 9
33 136 4
33 44 8
33 159 3
33 121 7
33 105 6
34 100 2
34 179 9
34 149 3
34 93 3
34 180 8
34 55 8
34 106 2
34 163 7
34 56 3
34 40 1
34 65 5
34 103 5
34 123 9
34 126 2
34 130 2
34 168 9
34 67 1
34 127 8
34 91 1
35 157 9
35 87 6
35 104 2
35 115 7
35 123 9
35 95 9
35 85 2
35 156 1
35 168 8
35 110 5
35 169 4
35 62 7
35 93 9
35 160 5
36 105 5
36 131 4
36 155 9
36 69 4
36 46 3
36 144 5
36 132 2
36 45 7
36 89 6
36 154 6
36 49 1
36 112 8
36 130 8
36 73 5
36 72 7
36 164 4
36 78 4
36 109 2
36 47 2
37 117 3
37 148 5
37 136 10
37 149 10
37 72 9
37 89 6
37 86 10
37 82 1
37 142 3
37 69 7
37 126 2
37 125 7
37 135 1
38 98 4
38 140 2
38 172 3
38 167 1
38 61 4
38 88 2
38 114 5
38 159 7
38 49 10
38 125 7
38 67 10
38 176 6
38 108 1
38 157 1
38 51 3
38 122 9
38 129 8
38 56 4
38 86 6
38 177 6
39 104 6
39 153 6
39 52 7
39 90 1
39 101 2
39 152 2
39 78 5
39 145 10
39 166 7
39 106 8
39 155 5
39 71 10
39 129 2
39 151 1
39 172 7
39 68 7
40 84 5
40 83 7
40 163 7
40 79 2
40 109 2
40 168 5
40 180 10
40 56 9
40 134 2
40 73 6
40 67 3
40 62 2
40 156 2
40 148 10
40 69 6
41 174 1
41 58 6
41 175 9
41 116 4
41 134 10
41 46 1
41 62 1
41 171 6
41 151 9
41 45 1
41 122 1
41 147 1
42 171 10
42 125 9
42 82 4
42 75 5
42 88 10
42 95 1
42 86 3
42 73 7
42 119 5
42 46 7
42 137 2
42 132 8
42 59 5
42 169 5
42 165 7
42 124 6
43 141 3
43 48 10
43 109 3
43 88 4
43 66 6
43 169 2
43 103 5
43 138 7
43 148 9
43 119 9
43 158 7
44 177 2
44 55 2
44 108 1
44 66 9
44 134 3
44 142 4
44 92 6
44 59 3
44 115 7
44 145 10
45 47 2
45 152 8
45 140 3
45 73 8
45 145 9
45 93 6
45 65 4
45 142 7
45 60 5
45 69 10
45 180 9
46 99 1
46 78 4
46 88 3
46 174 9
46 54 8
46 66 10
46 51 4
46 74 4
46 90 1
46 80 3
46 180 10
46 172 7
46 77 1
46 154 5
46 106 4
46 84 8
46 164 3
46 144 2
46 59 9
46 136 8
46 73 10
47 162 3
47 73 5
47 163 10
47 61 1
47 111 8
47 161 4
47 55 9
47 89 2
47 59 10
47 123 6
47 82 7
47 133 7
47 128 10
47 146 4
47 103 2
47 101 9
48 109 9
48 58 2
48 112 6
48 117 3
48 136 9
48 62 8
48 126 8
48 167 3
48 129 3
48 59 7
48 87 4
49 58 5
49 96 9
49 116 4
49 68 9
49 115 10
49 111 6
49 176 7
49 130 9
49 166 2
49 60 5
49 95 5
50 118 1
50 92 10
50 122 7
50 83 6
50 166 8
50 100 8
50 178 5
50 95 3
50 66 2
50 73 10
50 123 6
50 103 5
50 161 5
50 168 3
50 127 8
51 63 9
51 159 7
51 94 4
51 124 3
51 86 3
51 173 3
51 73 1
51 174 9
51 168 3
51 53 6
51 171 1
51 123 6
51 169 7
51 176 4
51 99 6
52 55 4
52 75 5
52 100 10
52 148 6
52 146 9
52 78 4
52 156 9
52 164 10
52 70 2
52 96 8
53 126 3
53 110 1
53 177 7
53 70 1
53 81 8
53 138 9
53 147 2
53 72 3
53 119 9
54 75 10
54 156 8
54 136 1
54 82 10
54 129 10
54 105 1
55 105 5
55 159 5
55 180 6
55 91 8
55 70 6
55 57 5
55 79 6
55 74 9
55 174 2
55 80 9
55 117 3
55 103 9
55 168 2
55 95 8
55 163 9
55 76 3
56 95 5
56 148 2
56 142 7
56 150 8
56 132 7
56 90 3
56 122 4
56 93 5
56 126 7
56 141 4
56 152 10
56 77 7
56 166 3
56 136 2
57 135 10
57 81 3
57 92 9
57 87 10
57 101 2
57 95 7
57 66 2
57 154 4
57 70 8
57 89 5
57 139 5
57 107 1
57 100 8
57 120 7
58 117 7
58 68 8
58 180 1
58 174 1
58 125 8
58 104 2
58 124 3
58 150 2
58 128 4
58 113 6
58 171 9
58 159 7
58 164 9
59 163 6
59 154 2
59 178 3
59 81 1
59 132 7
59 72 1
59 91 8
59 84 7
59 180 9
59 90 8
59 61 5
60 81 10
60 91 10
60 95 10
60 76 3
60 103 2
60 132 9
60 74 6
60 66 10
61 122 5
61 136 3
61 101 1
61 82 7
61 74 5
61 77 1
61 125 5
61 107 2
61 173 3
61 71 8
61 151 9
61 106 5
61 155 3
61 153 3
61 76 2
62 95 8
62 70 7
62 75 10
62 103 4
62 79 6
62 104 10
62 96 10
62 149 8
62 129 6
62 127 8
63 94 8
63 141 3
63 111 7
63 119 1
63 150 2
64 105 9
64 153 9
64 135 2
64 140 9
64 150 8
64 85 6
64 119 6
64 101 9
64 146 3
64 79 4
64 168 8
65 144 9
65 84 2
65 107 10
65 127 10
65 148 9
65 131 8
65 91 10
65 146 1
65 68 4
65 153 7
65 99 10
65 155 10
65 163 10
66 132 2
66 142 6
66 109 3
66 85 1
66 146 8
66 115 4
66 93 9
66 82 4
66 133 9
66 99 8
66 74 10
66 144 1
66 179 5
66 71 6
66 103 10
67 154 8
67 131 6
67 148 1
67 119 10
67 80 7
67 159 5
67 152 2
67 95 5
67 129 1
67 166 8
67 94 7
67 109 8
68 96 2
68 116 7
68 126 1
68 177 2
68 141 3
68 92 1
68 115 7
68 86 1
69 133 7
69 169 3
69 122 1
69 78 6
69 90 5
69 139 8
69 97 7
69 136 8
70 157 3
70 177 10
70 75 9
70 144 4
70 91 6
70 158 9
70 159 10
70 89 9
70 105 2
70 146 9
70 127 1
71 99 1
71 127 7
71 97 7
71 100 6
71 179 7
71 101 2
71 75 2
71 137 6
71 138 4
72 108 9
72 147 5
72 105 10
72 149 2
72 175 10
72 91 1
72 127 2
72 168 4
72 106 3
72 145 2
72 131 10
72 167 4
72 176 4
72 153 10
73 151 1
73 153 1
73 87 3
73 172 10
73 127 1
73 94 5
73 168 10
73 173 5
73 158 4
73 143 6
74 94 1
74 128 1
74 172 6
74 92 2
74 126 2
74 85 7
74 130 5
74 158 7
75 142 8
75 93 8
75 108 3
75 171 8
75 144 2
75 110 3
75 135 5
75 84 1
75 96 4
75 83 8
75 118 8
75 146 8
76 87 8
76 154 7
76 177 9
76 85 8
76 135 9
76 96 7
76 116 6
76 158 4
76 95 2
76 141 3
76 148 10
77 124 7
77 126 9
77 165 10
77 130 4
77 180 6
77 84 9
77 78 5
77 107 10
77 175 4
78 174 4
78 133 3
78 132 2
78 103 5
78 100 8
78 121 8
78 155 5
78 127 4
78 176 3
78 98 8
78 128 1
78 154 4
78 94 7
79 84 4
79 114 1
79 103 2
79 158 5
79 108 5
79 173 8
79 97 3
79 120 6
79 133 9
79 177 1
79 94 10
80 154 6
80 142 1
80 138 4
80 156 8
80 100 1
80 123 2
80 92 7
80 128 8
80 106 6
80 131 2
81 131 3
81 169 7
81 116 7
81 177 9
81 91 4
81 146 10
81 161 5
81 151 2
82 152 5
82 130 8
82 165 10
82 155 5
82 99 7
82 153 9
82 166 3
82 137 3
82 139 3
82 141 3
83 140 1
83 127 4
83 173 5
83 168 5
83 176 1
83 141 5
83 143 1
83 172 8
83 93 10
83 122 4
84 132 6
84 167 8
84 159 6
84 123 1
84 128 5
84 119 10
84 160 10
84 148 1
84 172 7
84 146 8
84 178 4
85 123 7
85 116 2
85 178 10
85 141 5
85 113 8
85 101 8
85 107 8
85 140 6
85 137 2
85 136 3
85 150 1
85 153 9
86 112 10
86 128 9
86 162 6
86 96 1
86 155 9
86 132 8
86 90 8
87 156 5
87 166 1
87 176 6
87 128 8
87 113 10
88 97 2
88 162 10
88 121 7
88 129 5
88 154 4
88 176 3
88 153 7
88 101 4
89 176 1
89 119 6
89 146 1
89 167 2
89 127 6
89 136 10
89 179 1
89 113 2
89 173 5
89 128 6
89 161 6
90 101 1
90 105 8
90 120 6
90 106 4
90 179 5
90 145 7
91 99 2
91 132 9
91 123 6
91 141 9
91 149 8
91 121 7
91 162 10
91 158 4
92 94 3
92 141 1
92 128 1
92 100 1
92 108 5
92 180 7
93 146 5
93 122 7
93 170 3
94 102 3
94 103 2
94 157 7
94 96 1
94 106 3
94 161 7
94 164 9
94 131 7
94 147 2
95 177 4
95 101 9
95 169 1
95 135 8
95 127 6
96 137 9
96 127 6
96 177 5
96 131 6
96 103 6
96 120 4
96 168 8
96 140 8
96 113 5
96 143 7
96 151 5
97 168 9
97 150 3
97 138 6
97 104 9
97 114 9
97 158 8
97 163 6
98 158 6
98 122 10
98 129 3
98 140 6
98 164 1
98 172 2
98 170 1
98 112 8
98 159 10
99 124 6
99 119 1
99 113 2
99 120 9
99 160 7
99 122 6
99 148 2
99 145 2
99 123 3
99 107 6
99 162 9
99 108 1
99 140 5
99 146 7
100 171 9
100 140 6
100 176 9
100 137 4
100 154 9
100 120 3
100 143 4
100 124 2
100 177 10
100 126 5
100 157 2
101 128 6
101 147 4
101 122 10
101 133 6
101 149 8
101 175 8
101 180 8
101 125 7
101 169 8
101 157 9
101 109 5
101 162 3
101 113 7
102 138 5
102 161 7
102 119 7
102 107 8
102 171 5
102 131 2
102 111 5
102 152 1
102 105 3
103 150 3
103 171 9
103 168 2
103 156 9
103 117 6
103 159 5
103 136 4
104 144 5
104 168 7
104 117 1
104 134 9
104 107 3
104 155 10
104 130 6
104 119 4
104 127 10
104 114 7
105 172 2
105 157 9
105 152 1
105 129 8
