180 1611 
1 55 2
1 110 -10
1 113 -4
1 77 -7
1 9 9
1 70 9
1 93 2
1 94 -7
1 82 -5
1 105 -6
1 97 -8
1 128 9
1 123 6
1 136 -3
1 117 -6
1 63 -5
1 179 1
1 65 -9
1 171 1
1 96 1
1 158 4
2 111 3
2 153 9
2 110 9
2 139 1
2 112 6
2 89 -10
2 18 -9
2 141 -9
2 121 -1
2 64 3
2 76 1
3 6 7
3 169 4
3 150 -2
3 164 1
3 68 2
3 144 -9
3 129 8
3 96 1
3 160 5
3 34 2
3 127 1
3 175 -5
3 107 -1
3 72 2
3 106 -2
3 142 -7
4 101 0
4 13 6
4 112 5
4 121 7
4 42 -6
4 102 0
4 174 -6
4 45 2
4 173 0
4 35 2
4 120 -3
4 67 1
4 130 -9
5 63 -3
5 85 -8
5 82 -1
5 158 7
5 48 8
5 155 -4
5 159 -8
5 161 8
5 37 -2
5 46 -9
5 72 9
5 124 2
5 24 9
5 118 -9
5 105 2
5 20 -5
6 168 8
6 179 -4
6 156 -8
6 31 1
6 116 7
6 173 7
6 122 0
6 65 10
6 98 -5
6 20 -9
6 153 7
6 126 -2
6 132 -5
6 88 3
6 68 6
6 49 2
6 82 7
6 56 -4
6 61 3
6 155 0
6 76 3
6 158 0
7 27 -6
7 79 0
7 119 -7
7 170 5
7 143 1
7 179 -5
7 124 -6
7 133 -5
7 57 4
7 84 2
7 123 5
7 47 -1
7 83 -2
7 163 9
7 49 -4
8 52 0
8 91 9
8 139 -6
8 40 3
8 68 -8
8 12 9
8 72 10
8 126 -6
8 102 -2
8 10 3
8 180 4
8 107 -6
8 61 -8
8 77 -9
8 152 2
8 151 4
8 53 -7
9 120 -7
9 131 6
9 135 0
9 41 -7
9 148 -6
9 144 4
9 137 -7
9 165 -9
9 55 -5
9 51 -7
9 134 0
9 73 -1
9 62 9
10 132 -10
10 81 -6
10 62 5
10 156 -5
10 73 5
10 114 8
10 159 9
10 86 3
10 127 -3
10 176 0
10 179 -1
10 52 -8
10 20 -6
10 157 7
10 85 10
10 92 -1
10 61 -5
10 100 6
10 31 -1
10 129 5
11 132 10
11 23 -6
11 44 -9
11 167 7
11 71 6
11 170 9
11 15 5
11 30 6
11 111 2
11 145 -9
11 85 9
11 118 -3
11 68 2
11 89 0
11 24 2
11 40 4
11 178 -1
12 128 -8
12 114 -2
12 125 -1
12 129 2
12 155 -3
12 99 5
12 150 6
13 176 6
13 154 -5
13 144 -1
13 64 -8
13 42 1
13 159 4
13 71 -6
13 46 1
13 32 -7
13 47 -7
13 113 -8
13 132 5
13 50 5
13 123 9
13 70 -7
13 52 -8
13 112 6
14 31 -10
14 120 6
14 20 -5
14 137 -8
14 121 9
14 22 -1
14 176 -10
14 26 7
14 25 -10
14 58 8
14 160 2
14 60 3
14 111 -2
14 37 -9
14 119 7
14 156 2
15 161 -9
15 124 7
15 91 1
15 135 9
15 113 5
15 80 -6
15 130 1
15 128 10
15 58 5
15 104 -2
15 75 6
15 84 -6
15 145 -6
15 106 -9
16 130 5
16 147 -10
16 59 10
16 173 8
16 18 10
16 110 -10
16 148 8
16 57 -6
16 80 -7
16 170 3
16 121 -10
16 160 -8
16 180 -3
16 176 -10
16 158 -10
16 81 2
17 125 -9
17 95 -8
17 87 -4
17 114 10
17 29 9
17 146 -4
17 74 -2
17 160 3
17 148 7
17 76 -8
17 18 -1
17 162 4
17 37 5
17 68 -1
17 56 8
17 33 4
17 25 5
17 70 3
17 169 -1
17 121 -8
18 79 -4
18 117 6
18 137 -4
18 129 -2
18 73 5
18 111 7
18 48 -9
18 64 2
18 165 7
18 45 7
18 32 -1
18 178 -9
19 174 9
19 73 -5
19 85 10
19 154 6
19 146 3
19 35 -10
19 111 10
19 31 8
19 102 3
19 124 7
19 78 8
19 134 -1
19 147 8
19 83 -9
19 149 -5
19 39 1
20 83 10
20 168 -3
20 146 8
20 136 -9
20 67 -6
20 157 -10
20 173 6
20 166 2
20 134 -9
20 153 0
20 104 -1
20 71 -10
20 119 4
20 179 -4
20 51 -8
20 180 8
20 54 0
20 165 -7
20 130 -10
21 78 1
21 57 -5
21 103 9
21 49 10
21 129 5
21 137 6
21 179 4
21 75 -5
21 106 -4
21 125 9
21 93 -8
21 43 -9
21 123 7
21 77 -2
22 125 -10
22 56 -7
22 45 2
22 62 4
22 23 -9
22 50 -6
22 122 4
22 152 7
22 52 -8
22 141 2
22 103 8
22 175 -7
22 100 9
22 82 -10
22 32 0
22 101 5
22 160 5
22 137 3
23 66 3
23 138 -8
23 115 -7
23 78 -1
23 109 9
23 165 1
23 150 -9
23 89 1
23 34 -5
23 90 -7
23 171 0
23 80 10
23 137 -3
23 162 1
23 92 8
23 142 -4
23 170 8
23 173 8
23 121 -7
23 59 10
23 140 -5
23 29 -6
24 135 -5
24 34 9
24 165 -3
24 174 10
24 36 -6
24 62 -8
24 139 -9
24 150 7
24 54 7
24 113 1
24 145 10
24 48 8
24 51 -3
24 138 -5
24 137 -9
24 159 -5
24 163 3
24 148 -6
24 109 -3
25 114 3
25 175 -9
25 159 5
25 90 -4
25 178 -2
25 105 8
25 126 4
25 52 -3
25 64 10
25 146 5
25 63 -9
25 87 3
25 138 10
25 124 0
25 167 -1
25 170 -9
26 43 10
26 90 5
26 154 2
26 136 -3
26 29 6
26 51 1
26 125 0
26 69 -1
26 97 -1
26 61 -7
26 152 10
26 148 1
26 158 7
26 41 5
26 132 -6
26 96 9
26 170 10
26 144 -4
27 54 -1
27 51 -8
27 114 6
27 39 -7
27 37 -6
27 83 -9
27 55 -6
27 159 5
27 45 -1
27 167 -6
27 117 -4
27 102 -10
27 158 8
27 95 5
27 48 -4
27 178 2
27 63 10
27 96 -4
28 67 4
28 39 3
28 63 4
